Country,Time
Argentina,"[19, 86, 41, 48, 93, 14]"
Australia,"[62, 38]"
Belgium,"[47, 69, 75, 6, 51, 16, 43, 90, 51, 69, 74, 94, 13, 31, 4, 82]"
Brazil,"[20, 91, 97, 36, 68, 51, 88, 76]"
Colombia,"[39, 40, 70, 75, 74, 93]"
Costa Rica,"[56, 93]"
Croatia,"[32, 71, 53, 80, 91, 53, 90, 4, 39, 101, 68, 109, 28, 69]"
Denmark,"[59, 7, 1]"
Egypt,"[73, 22]"
England,"[11, 91, 8, 40, 22, 46, 62, 36, 57, 30, 59, 5]"
France,"[58, 81, 34, 13, 57, 64, 68, 40, 61, 51, 18, 38, 59, 65]"
Germany,"[48, 95]"
Iceland,"[23, 76]"
Iran,[95]
Japan,"[6, 73, 34, 78, 52, 48]"
Mexico,"[35, 26, 66]"
Morocco,"[14, 81]"
Nigeria,"[49, 75, 51]"
Panama,"[78, 33]"
Peru,"[18, 50]"
Poland,"[86, 59]"
Portugal,"[3, 44, 88, 4, 45, 55]"
Russia,"[12, 43, 91, 71, 94, 59, 62, 47, 41, 31, 115]"
Saudi Arabia,"[51, 95, 93]"
Senegal,"[37, 60, 11, 71]"
Serbia,"[56, 5]"
South Korea,"[93, 94, 96]"
Spain,"[24, 55, 58, 54, 19, 91, 12]"
Sweden,"[65, 32, 50, 62, 74, 66]"
Switzerland,"[50, 52, 90, 31, 88]"
Tunisia,"[35, 18, 93, 51, 66]"
Uruguay,"[89, 23, 10, 23, 90, 7, 62]"
